YER;PCR;GCR;ITR;XTR;MTR
741676;410926;130752.3;191804.9;102120;105319.5
755933;416040;133067.5;203195.4;104740;107939.4
765040;421031;134996.7;206286.9;107148;111606.1
774307;429207;137219.5;205445.2;108605;111909.4
772953;432162;137677.4;204343.4;110814;113755.4
782855;438575;140161.1;209744;110733;112920
795064;442401;141676.7;210735;116032;116157.8
801388;447502;142733.1;213362.3;116051;117211.9
813263;455120;145175.3;215895.8;121250;122958.6
818739;457122;145995.7;218927.7;122539;126143.4
829935;465369;147498.4;221920.4;124112;128510.2
842083;470070;149145.1;227197.2;130093;132891.9
858295;479911;151989.2;231978.2;130958;135326.7
868702;484808;152796.9;232205.8;137588;139175.9
880632;487310;153377.2;233474.1;139570;144495.7
890254;492151;155846.5;234185.6;139441;146231.6
899068;492662;158309.2;233383.5;147258;145062
900695;497320;159818;227181.3;143996;144669.1
906831;500547;161122.9;227394.2;148783;148949.6
892381;495731;162739.8;220704.2;144048;138227.6
884052;498988;164661.7;217573.5;140754;131839.7
888617;506018;166741.9;214574.4;140562;134106.8
896555;512177;169408.1;215389.4;142324;138147.6
906028;519129;170198.8;218875.1;145015;142809.4
920821;525905;171187.1;218887.1;150757;148627.7
932663;529645;172815.3;219563.1;154249;151475.2
940515;533750;174750.7;219019.4;156745;153581.3
955621;539728;175959.3;224304.6;161358;156880.5
959560;540963;176515.7;226991.5;161404;153331.6
960853;548005;177323.4;223819.6;165200;154928.5
961608;552376;179637.5;225001.1;166523;157059.1
973110;557910;182506.4;227781.2;171742;157562.8
979368;559619;183557.5;228501.6;170999;154308.8
990542;565755;185103.5;230963.3;175380;159369.3
995181;569984;187382.1;231286;178971;164137.8
1007033;576403;189144.9;233362.3;180755;169666.4
1012176;580392;190773.6;229939.1;185516;170557
1028391;591437;192453.3;238990.6;186433;177174.7
1033637;589232;193812.3;240512.8;191511;180726.2
1043455;595240;194788.6;244290;192463;183669.2
1053303;600657;196546;246887.8;198645;188579.6
1048358;596983;198823.9;242742.1;189978;183505.7
1047760;601307;200126.4;241802;187787;184924.8
1048252;600976;200898.2;239671.7;189252;181632.4
1049264;600549;205829.6;237300.1;192760;181642.9
1052407;599852;204052.1;236979;201055;181702.4
1055310;601862;205496.4;235312.5;209161;182346.3
1057787;604926;206110.7;230015.5;206700;182124.2
1062158;607463;209520.7;230136.6;207159;186474
1063587;605656;209407.7;229946.1;204830;185226.6
1057914;602335;210165.2;227707.1;202139;183341
1058368;606476;210754.3;225992.6;206263;182031
1065415;609931;213207.4;227823.5;207881;182172.2
1072386;609913;213498.3;227983.5;210319;184056.4
1075172;608829;214188.4;228644.3;212953;184357.5
1086930;613994;215552.3;226751.9;216912;186687.9
1096269;619482;216154.6;228263.9;228449;191537.5
1091088;617436;217430.4;222880.2;224747;191594.1
1102337;618631;218389.6;225889.5;231959;194995.2
1107979;619685;220312.2;227791.3;235384;196376.9
1110469;625105;221560.1;225175.4;239140;200838.4
1121064;629283;222927.6;228805.7;237891;200165.6
1130554;635150;224495.4;233555.4;240673;204765.2
1137295;639829;226527.4;236335.5;241013;205362.4
1133415;642030;227267;234041;237277;206117.9
1154196;653630;229240.3;240237.3;241475;213886.6
1160060;658427;230662.3;243678.7;242645;219344.8
1162933;663436;232278;245840;240995;219893.9
1157351;664608;234501.6;241794.9;239824;224999.2
1176850;676101;236655;249841.6;243399;230493.8
1189488;681918;238164.3;255634.4;255538;239813.1
1204650;690500;240263.5;259491.3;255557;244683.9
1211303;690865;241863.3;263677.3;250344;242559.8
1222438;694687;242735.7;268659.2;263611;251253.3
1237579;704694;243781.6;273182.8;267820;260113.3
1249025;709963;245895.5;278142.1;274732;265050.3
1263696;716806;245237.4;285322.4;278756;271492.8
1275709;721283;247111.9;288151.7;290025;279688.3
1283338;729642;248242.4;290175.5;285534;278705.5
1296711;737206;248284;297000.5;290370;287299
1314291;743233;252185.9;305802.4;299862;295741
1320292;748002;254128.6;304057.2;299932;299459.7
1332537;750502;255465.5;305107.5;310786;304292.5
1340078;757119;257016.3;307406.6;321480;313987.4
1349338;765436;258486;307411.5;318073;316281.8
1353347;772002;262428.5;308094.7;316225;317732.6
1352973;769451;266117.7;307602.3;322995;322734.9
1365839;780305;269196;311739.6;328628;322030.1
1386457;785032;270818.4;317345.2;333371;331767
1375874;785924;271069.7;312684.7;331300;330603.1
1372021;784498;273429;306668;331198;328447.8
1369278;790966;274955.4;304071.3;330573;327681.4
1359948;777790;275308.4;295491.3;329913;315013.7
1360957;777657;276774.6;290848.9;329070;313871.7
1366600;780166;277072.4;291248.8;333617;316390.1
1370178;784560;277753.5;288430.8;342803;319176.9
1382875;785153;279791.9;291376.5;351793;327193.8
1391488;787415;279518.4;296101;360255;336653.6
1400858;793138;279728.4;299276.5;366070;346986
1411973;796753;281586.8;306670.2;376949;358554.8
1419643;800276;277865.1;302447;389616;363603.7
1428333;808903;280312.3;305403.6;394905;370826.2
1432361;808722;282227;304741.1;389306;370303.8
1437014;809788;283829.9;308202.2;397451;377611.6
1438983;815743;283943.4;301584.5;404389;380110.8
1449176;818824;285916.2;312536;406141;380992.6
1458585;823625;288197.5;314496;412382;384501.8
1464825;825277;288683.8;315109.6;425882;396446.2
1468471;827256;288878.6;311827.4;435669;405389
1487652;835035;290836;318428.9;452188;417334.4
1498574;837116;291094.7;319744.9;468591;429554.7
1515216;846902;290012.7;326735.9;475356;439347.7
1524537;852151;292935.6;332970;485029;455986.3
1531102;857930;294478;333847.6;491370;461426.6
1539644;866077;295375.1;340167;493888;468628.3
1543541;873665;296523;343301;490377;474900
1557852;879458;299009.7;349457.7;494604;483030
1567858;885379;299200.5;354731.8;509689;493752.6
1584982;894854;300388.1;360720;524375;506658.7
1605731;902133;302105;364234.1;540541;520439.1
1623042;908884;305038.4;371058.4;562156;536979.5
1638305;916928;305865.6;373198.2;578306;555151.9
1647060;921913;308034.9;377392.8;592929;570313
1660387;922411;309744.3;378067.7;615783;590662.8
1674421;931698;311146;381238.6;615908;582599
1676310;934713;312193.6;380384.2;609957;580203.4
1677794;938515;313539;378100.4;608093;574110.1
1680997;938219;317552.7;377760.2;609115;569429.7
1683972;938957;316662.9;375819.1;613192;570614.9
1691904;940793;319451.3;372559.9;623050;578856.6
1698814;946265;320752.6;374595.1;628070;580803.2
1700682;951582;322706.6;376469.1;632576;588899
1697110;950478;322873.7;376873.3;622434;594114.7
1697896;952421;324359.5;377101.7;619276;591225
1707060;956956;327062.8;381072;630389;594940.1
1719391;959442;328095.1;384446.9;646006;610587.1
1729516;965486;327512.2;386283;660312;618625.5
1738601;968005;329069.7;387387.4;679794;635240
1744177;969616;331045.5;389332.2;681245;643958.9
1750283;977766;331434.6;390800.5;689995;654554.3
1753927;980727;332701.1;391353.8;692399;652722
1765240;986327;334773.2;398984.4;705762;672113.8
1778417;991792;335791.8;403155.8;722076;683489.7
1788977;996273;336557.9;407133.3;735467;702077.7
1805396;1001960;339928.8;411976;754239;719265.2
1824431;1007280;341353;421139.4;770272;730521.9
1836309;1010314;342249.2;424941.9;779263;736126.5
1856252;1019708;344880.6;435912.4;803479;759503
1870246;1019699;346525.3;439607.5;814543;772068.1
1882215;1026940;348502.4;442760.1;828156;778814.6
1891082;1030703;349792.1;445267.1;841030;793728.6
1901052;1034798;352625.3;447139.1;846293;796550.3
1910738;1035366;354444.6;451206.1;855602;801623.9
1904366;1033605;358089.8;444463.6;855391;800871.9
1893670;1028877;357738.7;437845.9;845391;794943.2
1860774;1025572;360776.4;425897.8;794585;760329.1
1805426;1019862;364046.5;399571.2;722980;699711.3
1801266;1020336;365969.2;389202.4;718840;683914.7
1806828;1018531;368007.3;387107;738581;703245.4
1816389;1022495;367145.5;386512.6;757234;717376.1
1823734;1024225;368987.2;383249.5;774601;735065.2
1841681;1027008;368594.8;390829.6;813380;769738.5
1849925;1028096;369309.7;390352.4;829390;778502.8
1860648;1032446;369184.6;390778.1;847141;793440.2
1876019;1031466;368321.7;396459.9;862818;804658.3
1875852;1026755;368850.5;395888.2;868486;805819.6
1876471;1028118;368630.5;394599.5;876120;808636.6
1869402;1022603;369020.5;393252;876639;798550.3
1866675;1020772;367840.2;387040.9;887366;799982.3
1860940;1016565;367491;385581.8;894574;799065.9
1857885;1014349;367403.2;380048.3;901860;799771.5
1849466;1009531;367179.2;376131.7;898921;795005.2
1843827;1006513;367582.2;368269;901312;795879.5
1853029;1008950;367729.2;372029.9;911858;804919.5
1858787;1011126;368918.3;375068.6;919538;816596.4
1863724;1013293;369854.1;376588.5;929259;822196.1
1870144;1012910;369701.2;378811.2;936888;831708.8
1873460;1016023;370129.4;376787.3;946586;842612.3
1880709;1019744;371599.3;379040.8;962673;855158.2
1888541;1024983;372386.8;381504.9;976178;866897.8
1902994;1029405;373494.4;386943.7;1002706;890771.9
1909184;1034183;374486.7;387288;1014835;898363.1
1917063;1038988;376121.2;390644.3;1019800;909472.3
1924837;1043315;378270.2;395896.8;1028050;923264.8
1934990;1050066;381004.5;396827.4;1033125;927311.2
1941665;1054932;382076.3;407697.2;1046409;944501.9
1949490;1059061;382680.9;407120.8;1050120;948453.2
1961140;1063410;383779.3;412666.2;1066400;966856.4
